Konzept	Begriff	Begriffsvarianten	Quelle	Referenz	Wikidata_exact	Wikidata-Label	Wikidata_close	Label
Kaffee	Brühe		OT	https://www.openthesaurus.de/synonyme/Br%C3%BChe	https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Capuccino		OT; GermaNet	https://www.openthesaurus.de/synonyme/Cappuccino	https://www.wikidata.org/wiki/Q159774	Capuccino		
Kaffee	Espresso		OT; GermaNet	https://www.openthesaurus.de/synonyme/Espresso	https://www.wikidata.org/wiki/Q180289	Espresso		
Kaffee	Filterkaffee		D9; GermaNet		https://www.wikidata.org/wiki/Q1155703	Filterkaffee		
Kaffee	Geplämpe		Sanders		https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Geschlapp		Sanders		https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Instantkaffee		gemini-2.0-flash-thinking-exp-1219; GermaNet		https://www.wikidata.org/wiki/Q12620482	Instantkaffeegetränk		
Kaffee	Java		OT	https://www.openthesaurus.de/synonyme/Java				
Kaffee	Kaffee	Café	OT; claude-3-5-sonnet-20241022 	https://www.openthesaurus.de/synonyme/Kaffee				
Kaffee	Kaffee mit aufgeschäumter Milch		OT	https://www.openthesaurus.de/synonyme/Cappuccino	https://www.wikidata.org/wiki/Q159774	Capuccino		
Kaffee	Kapuziner		OT	https://www.openthesaurus.de/synonyme/Kapuziner	https://www.wikidata.org/wiki/Q159774	Capuccino		
Kaffee	Latte		OT	https://www.openthesaurus.de/synonyme/Latte%20%28fem.%29	https://www.wikidata.org/wiki/Q841774	Kaffee Latte		
Kaffee	Latte macchiato		OT	https://www.openthesaurus.de/synonyme/Latte%20macchiato	https://www.wikidata.org/wiki/Q22929	Latte macchiato		
Kaffee	Lorke		OT; Sanders	https://www.openthesaurus.de/synonyme/Lorke	https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Lurke		Sanders		https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Melange		D1; GermaNet		https://www.wikidata.org/wiki/Q70461	Melange		
Kaffee	Milchkaffee		OT; GermaNet	https://www.openthesaurus.de/synonyme/Milchkaffee	https://www.wikidata.org/wiki/Q10751552	Milchkaffee		
Kaffee	Mokka	Mocca; Mocha	OT; GermaNet; Sanders; llama-3.3-70b-instruct	https://www.openthesaurus.de/synonyme/Mokka	https://www.wikidata.org/wiki/Q43022	Mokka		
Kaffee	Plampel		Sanders		https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Plempe	Plämpe	OT; Sanders 	https://www.openthesaurus.de/synonyme/Plempe	https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Plörre		OT	https://www.openthesaurus.de/synonyme/Pl%C3%B6rre	https://www.wikidata.org/wiki/Q22862	Blümchenkaffee		
Kaffee	Röstkaffee		D9					
Kaffee	Schwarzes Gold		chatgpt-4o-latest-20241120					
Kaffee	Türkentrank		claude-3-5-sonnet-20241022					
Kaffee	Wachmacher		OT	https://www.openthesaurus.de/synonyme/Wachmacher				
Kaffeeersatz	Ersatzkaffee		OT	https://www.openthesaurus.de/synonyme/Ersatzkaffee				
Kaffeeersatz	Kaffeeersatz		OT	https://www.openthesaurus.de/synonyme/Kaffeeersatz				
Kaffeeersatz	Caro-Kaffee		OT	https://www.openthesaurus.de/synonyme/Caro-Kaffee				
Kaffeeersatz	Fruchtkaffee		OT	https://www.openthesaurus.de/synonyme/Fruchtkaffee				
Kaffeeersatz	Gerstenkaffee		OT	https://www.openthesaurus.de/synonyme/Gerstenkaffee	https://www.wikidata.org/wiki/Q3243039	Malzkaffee		
Kaffeeersatz	Getreidekaffee		OT; GermaNet	https://www.openthesaurus.de/synonyme/Getreidekaffee	https://www.wikidata.org/wiki/Q3243039	Malzkaffee		
Kaffeeersatz	Kornkaffee		WE12		https://www.wikidata.org/wiki/Q3243039	Malzkaffee		
Kaffeeersatz	Malzkaffee		OT; GermaNet	https://www.openthesaurus.de/synonyme/Malzkaffee	https://www.wikidata.org/wiki/Q3243039	Malzkaffee		
Kaffeeersatz	Kinderkaffee		OT	https://www.openthesaurus.de/synonyme/Kinderkaffee				
Kaffeeersatz	Muckefuck		OT; GermaNet	https://www.openthesaurus.de/synonyme/Muckefuck				
Kaffeeersatz	Zichorienkaffee		Sanders; GermaNet					
Kaffeeersatz	Eichelkaffee		Sanders					
Tee	Tee		OT	https://www.openthesaurus.de/synonyme/Tee				
Tee	Teegetränk		claude-3-5-sonnet-20241022					
Tee	Früchtetee		D9; GermaNet		https://www.wikidata.org/wiki/Q744457	Früchtetee		
Tee	Kamillentee		D9; Sanders					
Tee	Kräutertee		D9; Sanders; GermaNet		https://www.wikidata.org/wiki/Q379932	Kräutertee		
Tee	Pfefferminztee		D9		https://www.wikidata.org/wiki/Q1071940	Pfefferminztee		
Tee	Schwarztee	schwarzer Tee; Schwarzer Tee	D9; Sanders 		https://www.wikidata.org/wiki/Q203415	schwarzer Tee		
Tee	Fencheltee		Sanders					
Tee	Grüntee	grüner Tee; Grüner Tee	Sanders; llama-3.3-70b-instruct; chatgpt-4o-latest-20241120		https://www.wikidata.org/wiki/Q484083	grüner Tee		
Tee	Mate		chatgpt-4o-latest-20241120		https://www.wikidata.org/wiki/Q203540	Mate		
Tee	Ostfriesentee		GermaNet		https://www.wikidata.org/wiki/Q2035490	Ostfriesentee		
Tee	Hagebuttentee		GermaNet					
Kakao	Kakao		OT	https://www.openthesaurus.de/synonyme/Kakao				
Kakao	Heiße Schokolade		OT	https://www.openthesaurus.de/synonyme/hei%C3%9Fe%20Schokolade				
Kakao	Kakaogetränk		OT	https://www.openthesaurus.de/synonyme/Kakaogetr%C3%A4nk				
Kakao	Kakaomilch		OT	https://www.openthesaurus.de/synonyme/Kakaomilch				
Kakao	Kakaotrunk		OT	https://www.openthesaurus.de/synonyme/Kakaotrunk				
Kakao	Kakaotrank		claude-3-5-sonnet-20241022					
Kakao	Schokoladentrunk	Schokotrunk	OT; gemini-2.0-flash-thinking-exp-1219 	https://www.openthesaurus.de/synonyme/Schokoladentrunk				
Kakao	Schokoladentrank	Schokotrank	claude-3-5-sonnet-20241022					
Kakao	Trinkschokolade		OT	https://www.openthesaurus.de/synonyme/Trinkschokolade				
Kakao	Schokolade		D1; Sanders; gemini-2.0-flash-thinking-exp-1219					
Kakao	Schokoladengetränk	Schokogetränk	chatgpt-4o-latest-20241120					
Kakao	Schokodrink		chatgpt-4o-latest-20241120					
Kakao	Milchkakao		chatgpt-4o-latest-20241120					
Kakao	Schokoladenmilch	Schokomilch	gemini-2.0-flash-thinking-exp-1219; claude-3-5-sonnet-20241022 					
Alkoholhaltiges_Kaltgetränk	billiger Alkohol		OT	https://www.openthesaurus.de/synonyme/billiger%20Alkohol				
Alkoholhaltiges_Kaltgetränk	Radler		OT	https://www.openthesaurus.de/synonyme/Radler	https://www.wikidata.org/wiki/Q260417	Radler		
Alkoholhaltiges_Kaltgetränk	Alsterwasser		OT	https://www.openthesaurus.de/synonyme/Alsterwasser	https://www.wikidata.org/wiki/Q260417	Radler		
Alkoholhaltiges_Kaltgetränk	Alster		OT	https://www.openthesaurus.de/synonyme/Alster	https://www.wikidata.org/wiki/Q260417	Radler		
Alkoholhaltiges_Kaltgetränk	Bier-Limonade-Mix		OT	https://www.openthesaurus.de/synonyme/Bier-Limonade-Mix	https://www.wikidata.org/wiki/Q260417	Radler		
Alkoholhaltiges_Kaltgetränk	Biermischgetränk				https://www.wikidata.org/wiki/Q13527031	Biermischgetränk		
Alkoholhaltiges_Kaltgetränk	Cocktail		OT	https://www.openthesaurus.de/synonyme/Cocktail	https://www.wikidata.org/wiki/Q134768	Cocktail		
Alkoholhaltiges_Kaltgetränk	Longdrink		OT	https://www.openthesaurus.de/synonyme/Longdrink	https://www.wikidata.org/wiki/Q1346513	Longdrink		
Alkoholhaltiges_Kaltgetränk	Shortdrink		OT	https://www.openthesaurus.de/synonyme/Shortdrink	https://www.wikidata.org/wiki/Q2279997	Shortdrink		
Alkoholhaltiges_Kaltgetränk	Kurzer		OT	https://www.openthesaurus.de/synonyme/Kurzer	https://www.wikidata.org/wiki/Q1649489	Kurzer		
Alkoholhaltiges_Kaltgetränk	Absacker		OT	https://www.openthesaurus.de/synonyme/Absacker				
Alkoholhaltiges_Kaltgetränk	Reiswein		OT	https://www.openthesaurus.de/synonyme/Reiswein	https://www.wikidata.org/wiki/Q170219	Sake		
Bier 	Bier		OT	https://www.openthesaurus.de/synonyme/Bier				
Bier 	Gerstensaft		OT	https://www.openthesaurus.de/synonyme/Gerstensaft				
Bier 	Gerstentrank		Sanders					
Bier 	Gerstenwein		Sanders					
Bier 	Flüssigbrot		OT	https://www.openthesaurus.de/synonyme/Fl%C3%BCssigbrot				
Bier 	Gerstenkaltgetränk		OT	https://www.openthesaurus.de/synonyme/Gerstenkaltgetr%C3%A4nk				
Bier 	Gerstenkaltschalte		OT	https://www.openthesaurus.de/synonyme/Gerstenkaltschale				
Bier 	Hopfenkaltschale		OT	https://www.openthesaurus.de/synonyme/Hopfenkaltschale				
Bier 	Hopfentee		OT	https://www.openthesaurus.de/synonyme/Hopfentee				
Bier 	Krawallbrause		OT	https://www.openthesaurus.de/synonyme/Krawallbrause				
Bier 	Maurerbrause		OT	https://www.openthesaurus.de/synonyme/Maurerbrause				
Bier 	Ballerbrühe		OT	https://www.openthesaurus.de/synonyme/Ballerbr%C3%BChe				
Bier 	Hopfenblütentee		gemini-2.0-flash-thinking-exp-1219					
Bier 	Hopfensaft		chatgpt-4o-latest-20241120					
Bier 	Hopfengetränk		chatgpt-4o-latest-20241120					
Bier 	Bräu		D1; D9; GermaNet; WE10					
Bier 	Altbier		OT	https://www.openthesaurus.de/synonyme/Altbier	https://www.wikidata.org/wiki/Q44924	Altbier		
Bier 	Weißbier		OT	https://www.openthesaurus.de/synonyme/Wei%C3%9Fbier	https://www.wikidata.org/wiki/Q131413	Weizenbier		
Bier 	Weizenbier	Weizen	D9	https://www.openthesaurus.de/synonyme/Weizen	https://www.wikidata.org/wiki/Q131413	Weizenbier		
Bier 	Hefeweizen		D9		https://www.wikidata.org/wiki/Q131413	Weizenbier		
Bier 	Pilsbier	Pils	OT	https://www.openthesaurus.de/synonyme/Pilsbier; https://www.openthesaurus.de/synonyme/Pils 	https://www.wikidata.org/wiki/Q152281	Pilsner Bier		
Bier 	Bockbier	Bock	OT; D1; D9 	https://www.openthesaurus.de/synonyme/Bockbier	https://www.wikidata.org/wiki/Q687737	Bockbier		
Bier 	Starkbier		OT; GermaNet	https://www.openthesaurus.de/synonyme/Starkbier	https://www.wikidata.org/wiki/Q1234364	Starkbier		
Bier 	Kölsch		OT	https://www.openthesaurus.de/synonyme/K%C3%B6lsch	https://www.wikidata.org/wiki/Q4626	Kölsch		
Bier 	Helles		OT	https://www.openthesaurus.de/synonyme/Helles	https://www.wikidata.org/wiki/Q261105	Helles		
Bier 	Hellbier		OT	https://www.openthesaurus.de/synonyme/Hellbier	https://www.wikidata.org/wiki/Q261105	Helles		
Bier 	Kellerbier		OT	https://www.openthesaurus.de/synonyme/Kellerbier	https://www.wikidata.org/wiki/Q8401949	Zwickelbier		
Bier 	Märzenbier	Märzen	OT	https://www.openthesaurus.de/synonyme/M%C3%A4rzenbier; https://www.openthesaurus.de/synonyme/M%C3%A4rzen 	https://www.wikidata.org/wiki/Q1760222	Märzen		
Bier 	Leichtbier		OT	https://www.openthesaurus.de/synonyme/Leichtbier	https://www.wikidata.org/wiki/Q1814622	Leichtbier		
Bier 	Dünnbier		OT; GermaNet	https://www.openthesaurus.de/synonyme/D%C3%BCnnbier	https://www.wikidata.org/wiki/Q524679	Dünnbier		
Bier 	Braunbier		OT	https://www.openthesaurus.de/synonyme/Braunbier	https://www.wikidata.org/wiki/Q900660	Braunbier		
Bier 	Ale		OT	https://www.openthesaurus.de/synonyme/Ale	https://www.wikidata.org/wiki/Q208385	Ale		
Bier 	Porter		D9		https://www.wikidata.org/wiki/Q954166	Porter		
Bier 	Schwarzbier		D9		https://www.wikidata.org/wiki/Q1273660	Schwarzbier		
Bier 	Malzbier		GermaNet		https://www.wikidata.org/wiki/Q2144234	Malzbier		
Bier 	Dunkelbier		GermaNet		https://www.wikidata.org/wiki/Q1265882	Dunkelbier		
Wein	Wein		OT	https://www.openthesaurus.de/synonyme/Wein				
Wein	Rebensaft		OT	https://www.openthesaurus.de/synonyme/Rebensaft				
Wein	Rotwein		OT	https://www.openthesaurus.de/synonyme/Rotwein	https://www.wikidata.org/wiki/Q1827	Rotwein		
Wein	Roter		OT	https://www.openthesaurus.de/synonyme/Roter	https://www.wikidata.org/wiki/Q1827	Rotwein		
Wein	Weißwein		OT	https://www.openthesaurus.de/synonyme/Wei%C3%9Fwein	https://www.wikidata.org/wiki/Q10210	Weißwein		
Wein	Weißer		OT	https://www.openthesaurus.de/synonyme/Wei%C3%9Fer	https://www.wikidata.org/wiki/Q10210	Weißwein		
Wein	Roséwein	Rosé	OT	https://www.openthesaurus.de/synonyme/Ros%C3%A9wein; https://www.openthesaurus.de/synonyme/Ros%C3%A9 	https://www.wikidata.org/wiki/Q12979	Roséwein		
Wein	Tafelwein		OT	https://www.openthesaurus.de/synonyme/Tafelwein	https://www.wikidata.org/wiki/Q1513599	Tafelwein		
Wein	Prädikatswein		OT	https://www.openthesaurus.de/synonyme/Pr%C3%A4dikatswein	https://www.wikidata.org/wiki/Q353275	Klassifikation deutscher Weine		
Wein	Qualitätswein		D9		https://www.wikidata.org/wiki/Q2122125	Qualitätswein		
Wein	Obstwein		D1		https://www.wikidata.org/wiki/Q633625	Obstwein		
Wein	Apfelwein		D1		https://www.wikidata.org/wiki/Q618389	Apfelwein		
Wein	Federweißer		OT	https://www.openthesaurus.de/synonyme/Federwei%C3%9Fer	https://www.wikidata.org/wiki/Q22996	Neuer Wein		
Wein	Fruchtwein		OT	https://www.openthesaurus.de/synonyme/Fruchtwein	https://www.wikidata.org/wiki/Q633625	Obstwein		
Wein	Sauser		OT; D1		https://www.wikidata.org/wiki/Q22996	Neuer Wein		
Wein	Riesling		D1; D9		https://www.wikidata.org/wiki/Q456471	Riesling		
Wein	Bordeaux		D9		https://www.wikidata.org/wiki/Q67443910	Bordeaux		
Wein	Burgunder		D9		https://www.wikidata.org/wiki/Q43771277	Burgunder		
Wein	Cidre		OT	https://www.openthesaurus.de/synonyme/Cidre	https://www.wikidata.org/wiki/Q167296	Apfelschaumwein		
Wein	Apfelperlwein		OT	https://www.openthesaurus.de/synonyme/Apfelperlwein	https://www.wikidata.org/wiki/Q167296	Apfelschaumwein		
Wein	Apfelschaumwein		OT	https://www.openthesaurus.de/synonyme/Apfelschaumwein	https://www.wikidata.org/wiki/Q167296	Apfelschaumwein		
Wein	Eiswein		D9		https://www.wikidata.org/wiki/Q828135	Eiswein		
Wein	Landwein		D9		https://www.wikidata.org/wiki/Q1804737	Landwein		
Wein	Süßwein		OT	https://www.openthesaurus.de/synonyme/S%C3%BC%C3%9Fwein	https://www.wikidata.org/wiki/Q1200945	Dessertwein		
Wein	Portwein		OT	https://www.openthesaurus.de/synonyme/Portwein				
Wein	Likörwein		OT	https://www.openthesaurus.de/synonyme/Lik%C3%B6rwein				
Wein	Grauburgunder		OT	https://www.openthesaurus.de/synonyme/Grauburgunder	https://www.wikidata.org/wiki/Q778601	Pinot gris		
Wein	Weißburgunder		D9		https://www.wikidata.org/wiki/Q950514	Weißburgunder		
Wein	Palmwein		OT	https://www.openthesaurus.de/synonyme/Palmwein	https://www.wikidata.org/wiki/Q839492	Palmwein		
Wein	Honigwein		OT	https://www.openthesaurus.de/synonyme/Honigwein	https://www.wikidata.org/wiki/Q184442	Met		
Wein	Met		OT; D1	https://www.openthesaurus.de/synonyme/Met	https://www.wikidata.org/wiki/Q184442	Met		
Sekt	Schaumwein		OT	https://www.openthesaurus.de/synonyme/Schaumwein				
Sekt	Perlwein		OT	https://www.openthesaurus.de/synonyme/Perlwein	https://www.wikidata.org/wiki/Q1259100	Perlwein		
Sekt	Sekt		OT	https://www.openthesaurus.de/synonyme/Sekt				
Sekt	Champagner		OT	https://www.openthesaurus.de/synonyme/Champagner	https://www.wikidata.org/wiki/Q134862	Champagner		
Sekt	Schampus		OT	https://www.openthesaurus.de/synonyme/Schampus				
Sekt	Schumm		D1					
Sekt	Pickelbrause		OT	https://www.openthesaurus.de/synonyme/Prickelbrause				
Sekt	Pickelwasser		OT	https://www.openthesaurus.de/synonyme/Prickelwasser				
Sekt	Puffbrause		OT	https://www.openthesaurus.de/synonyme/Puffbrause				
Sekt	Prosecco		llama-3.3-70b-instruct; GermaNet		https://www.wikidata.org/wiki/Q1069954	Prosecco		
Sekt	Krimsekt		OT	https://www.openthesaurus.de/synonyme/Krimsekt	https://www.wikidata.org/wiki/Q1789031	Krimsekt		
Spirituose	Schnaps		OT	https://www.openthesaurus.de/synonyme/Schnaps	https://www.wikidata.org/wiki/Q1815494	Schnapps		
Spirituose	Branntwein	Branntewein	OT; Sanders	https://www.openthesaurus.de/synonyme/Branntwein	https://www.wikidata.org/wiki/Q50091090	Branntwein		
Spirituose	Schabau		OT	https://www.openthesaurus.de/synonyme/Schabau	https://www.wikidata.org/wiki/Q1815494	Schnapps		
Spirituose	Spirituose		OT	https://www.openthesaurus.de/synonyme/Spirituose				
Spirituose	Feuerwasser		OT; Sanders	https://www.openthesaurus.de/synonyme/Feuerwasser				
Spirituose	Fusel		OT; D1	https://www.openthesaurus.de/synonyme/Fusel	https://www.wikidata.org/wiki/Q2697307	Fusel		
Spirituose	Hochprozentiges		OT	https://www.openthesaurus.de/synonyme/Hochprozentiges				
Spirituose	Zielwasser		OT	https://www.openthesaurus.de/synonyme/Zielwasser	https://www.wikidata.org/wiki/Q199036	Zielwasser		
Spirituose	Korn		OT	https://www.openthesaurus.de/synonyme/Korn	https://www.wikidata.org/wiki/Q582877	Kornbrand		
Spirituose	Kornbrand		OT	https://www.openthesaurus.de/synonyme/Kornbrand	https://www.wikidata.org/wiki/Q582877	Kornbrand		
Spirituose	Kornbranntwein		Sanders		https://www.wikidata.org/wiki/Q582877	Kornbrand		
Spirituose	Gin		OT	https://www.openthesaurus.de/synonyme/Gin	https://www.wikidata.org/wiki/Q959362	Gin		
Spirituose	Wacholderbranntwein		OT	https://www.openthesaurus.de/synonyme/Wacholderbranntwein	https://www.wikidata.org/wiki/Q959362	Gin		
Spirituose	Wacholderschnaps		OT	https://www.openthesaurus.de/synonyme/Wacholderschnaps	https://www.wikidata.org/wiki/Q959362	Gin		
Spirituose	Wodka		OT	https://www.openthesaurus.de/synonyme/Wodka	https://www.wikidata.org/wiki/Q374	Wodka		
Spirituose	Obstbrand		OT	https://www.openthesaurus.de/synonyme/Obstbrand	https://www.wikidata.org/wiki/Q222216	Obstbrand		
Spirituose	Obstgeist		OT	https://www.openthesaurus.de/synonyme/Obstgeist	https://www.wikidata.org/wiki/Q25628934	Obstgeist		
Spirituose	Obstler		OT	https://www.openthesaurus.de/synonyme/Obstler	https://www.wikidata.org/wiki/Q222216	Obstbrand		
Spirituose	Obstwasser		OT	https://www.openthesaurus.de/synonyme/Obstwasser	https://www.wikidata.org/wiki/Q222216	Obstbrand		
Spirituose	Obstschnaps		GermaNet		https://www.wikidata.org/wiki/Q222216	Obstbrand		
Spirituose	Likör		OT	https://www.openthesaurus.de/synonyme/Lik%C3%B6r	https://www.wikidata.org/wiki/Q178780	Likör		
Spirituose	Amaretto		OT	https://www.openthesaurus.de/synonyme/Amaretto	https://www.wikidata.org/wiki/Q67588764	Mandellikör		
Spirituose	Mandellikör		OT	https://www.openthesaurus.de/synonyme/Mandellik%C3%B6r	https://www.wikidata.org/wiki/Q67588764	Mandellikör		
Spirituose	Cassis		OT	https://www.openthesaurus.de/synonyme/Cassis	https://www.wikidata.org/wiki/Q67446926	Cassislikör		
Spirituose	Johannisbeerlikör		OT	https://www.openthesaurus.de/synonyme/Johannisbeerlik%C3%B6r	https://www.wikidata.org/wiki/Q67446926	Cassislikör		
Spirituose	Aprikosenbrand		OT	https://www.openthesaurus.de/synonyme/Aprikosenbrand	https://www.wikidata.org/wiki/Q1898165	Marillenschnaps		
Spirituose	Aprikosenschnaps		OT	https://www.openthesaurus.de/synonyme/Aprikosenschnaps	https://www.wikidata.org/wiki/Q1898165	Marillenschnaps		
Spirituose	Marillenbrand		OT	https://www.openthesaurus.de/synonyme/Aprikosenbrand	https://www.wikidata.org/wiki/Q1898165	Marillenschnaps		
Spirituose	Marillenschnaps		OT	https://www.openthesaurus.de/synonyme/Marillenschnaps	https://www.wikidata.org/wiki/Q1898165	Marillenschnaps		
Spirituose	Zwetschgenbrand		OT	https://www.openthesaurus.de/synonyme/Zwetschgenbrand	https://www.wikidata.org/wiki/Q244493	Zwetschgenwasser		
Spirituose	Zwetschgenschnaps		OT	https://www.openthesaurus.de/synonyme/Zwetschgenschnaps	https://www.wikidata.org/wiki/Q244493	Zwetschgenwasser		
Spirituose	Zwetschgenwasser		OT	https://www.openthesaurus.de/synonyme/Zwetschgenwasser	https://www.wikidata.org/wiki/Q244493	Zwetschgenwasser		
Spirituose	Cognac		OT	https://www.openthesaurus.de/synonyme/Cognac	https://www.wikidata.org/wiki/Q146470	Weinbrand		
Spirituose	Kognak		OT; D1; Sanders	https://www.openthesaurus.de/synonyme/Kognak	https://www.wikidata.org/wiki/Q146470	Weinbrand		
Spirituose	Weinbrand		OT	https://www.openthesaurus.de/synonyme/Weinbrand	https://www.wikidata.org/wiki/Q146470	Weinbrand		
Spirituose	Digestif		OT	https://www.openthesaurus.de/synonyme/Digestif	https://www.wikidata.org/wiki/Q1344463	Verdauungsschnaps		
Spirituose	Verdauungsschnaps		OT	https://www.openthesaurus.de/synonyme/Verdauungsschnaps	https://www.wikidata.org/wiki/Q1344463	Verdauungsschnaps		
Spirituose	Magenbitter		D1		https://www.wikidata.org/wiki/Q1344463	Verdauungsschnaps		
Spirituose	Absinth		D1; D9; Sanders		https://www.wikidata.org/wiki/Q170210	Absinth		
Spirituose	Aquavit		D9; Sanders		https://www.wikidata.org/wiki/Q178899	Aquavit		
Spirituose	Lebenswasser		Sanders; LWP					
Spirituose	Goldwasser		D1		https://www.wikidata.org/wiki/Q836692	Danziger Goldwasser		
Spirituose	Whiskey	Whisky	GermaNet; D1; D9 		https://www.wikidata.org/wiki/Q281	Whisky		
Spirituose	Eierlikör		D9		https://www.wikidata.org/wiki/Q496934	Eierlikör		
Spirituose	Kirsch		D1; D9		https://www.wikidata.org/wiki/Q279034	Kirschwasser		
Spirituose	Kirschwasser		D9		https://www.wikidata.org/wiki/Q279034	Kirschwasser		
Spirituose	Kirschgeist		Sanders		https://www.wikidata.org/wiki/Q279034	Kirschwasser		
Spirituose	Kräuterlikör		D9		https://www.wikidata.org/wiki/Q1883967	Kräuterlikör		
Spirituose	Kräuterschnaps		GermaNet		https://www.wikidata.org/wiki/Q1883967	Kräuterlikör		
Spirituose	Klarer		D9; LWP		https://www.wikidata.org/wiki/Q12673554	Spirituose		
Spirituose	Rum		D9		https://www.wikidata.org/wiki/Q83376	Rum		
Spirituose	Zuckerrohrschnaps		LWP		https://www.wikidata.org/wiki/Q83376	Rum		
Spirituose	Tequila		D9		https://www.wikidata.org/wiki/Q122195	Tequila		
Spirituose	Brandy		Sanders		https://www.wikidata.org/wiki/Q146470	Weinbrand		
Spirituose	Arrak	Arrack	GermaNet; Sanders		https://www.wikidata.org/wiki/Q549301	Anisée		
Spirituose	Pflaumenbranntwein		Sanders		https://www.wikidata.org/wiki/Q244493	Zwetschgenwasser		
Spirituose	Kümmelbranntwein		Sanders		https://www.wikidata.org/wiki/Q1142021	Kümmel		
Spirituose	Wermutbranntwein		Sanders		https://www.wikidata.org/wiki/Q170210	Absinth		
Spirituose	Wermutschnaps		Sanders		https://www.wikidata.org/wiki/Q170210	Absinth		
Spirituose	Anisbranntwein		Sanders		https://www.wikidata.org/wiki/Q549301	Anisée		
Spirituose	Pfefferminzlikör		Sanders		https://www.wikidata.org/wiki/Q2083457	Pfefferminzlikör		
Spirituose	Anislikör		Sanders		https://www.wikidata.org/wiki/Q549301	Anisée		
Spirituose	Anisschnaps		OT	https://www.openthesaurus.de/synonyme/Anisschnaps	https://www.wikidata.org/wiki/Q549301	Anisée		
Spirituose	Grappa		OT	https://www.openthesaurus.de/synonyme/Grappa	https://www.wikidata.org/wiki/Q525397	Tresterbrand		
Spirituose	Tresterbrand		OT	https://www.openthesaurus.de/synonyme/Tresterbrand	https://www.wikidata.org/wiki/Q525397	Tresterbrand		
Spirituose	Tresterschnaps		OT	https://www.openthesaurus.de/synonyme/Tresterschnaps	https://www.wikidata.org/wiki/Q525397	Tresterbrand		
Spirituose	Sherry		GermaNet		https://www.wikidata.org/wiki/Q16398	Sherry		
Spirituose	Reisbranntwein		GermaNet		https://www.wikidata.org/wiki/Q1458114	Arrak		
Spirituose	Reisschnaps		GermaNet		https://www.wikidata.org/wiki/Q1458114	Arrak		
Alkoholhaltiges_Heißgetränk	Jagertee	Jagatee; Jägertee	OT	https://www.openthesaurus.de/synonyme/Jagertee; https://www.openthesaurus.de/synonyme/Jagatee; https://www.openthesaurus.de/synonyme/J%C3%A4gertee 	https://www.wikidata.org/wiki/Q1678436	Jagatee		
Alkoholhaltiges_Heißgetränk	Förstertee		OT	https://www.openthesaurus.de/synonyme/F%C3%B6rstertee	https://www.wikidata.org/wiki/Q1678436	Jagatee		
Alkoholhaltiges_Heißgetränk	Hüttentee		OT	https://www.openthesaurus.de/synonyme/H%C3%BCttentee	https://www.wikidata.org/wiki/Q1678436	Jagatee		
Alkoholhaltiges_Heißgetränk	Glühwein		OT; GermaNet	https://www.openthesaurus.de/synonyme/Gl%C3%BChwein	https://www.wikidata.org/wiki/Q6584	Glühwein		
Alkoholhaltiges_Heißgetränk	Glühmost		GermaNet		https://www.wikidata.org/wiki/Q1532845	Glühmost		
Alkoholhaltiges_Heißgetränk	Punsch		OT; GermaNet	https://www.openthesaurus.de/synonyme/Punsch	https://www.wikidata.org/wiki/Q1121224	Punsch		
Alkoholhaltiges_Heißgetränk	Bischof		D1; Sanders		https://www.wikidata.org/wiki/Q6584	Glühwein		
Alkoholhaltiges_Heißgetränk	Kardinal		D1; Sanders		https://www.wikidata.org/wiki/Q6584	Glühwein		
Alkoholhaltiges_Heißgetränk	Weinwarm		Sanders		https://www.wikidata.org/wiki/Q6584	Glühwein		
Alkoholhaltiges_Heißgetränk	Feuerzangenbowle		OT	https://www.openthesaurus.de/synonyme/Feuerzangenbowle	https://www.wikidata.org/wiki/Q1410129	Feuerzangenbowle		
Alkoholhaltiges_Heißgetränk	Gewürzwein		D1		https://www.wikidata.org/wiki/Q6584	Glühwein		
Alkoholhaltiges_Heißgetränk	Hippokras		D1		https://www.wikidata.org/wiki/Q6584	Glühwein		
Alkoholhaltiges_Heißgetränk	Grog		OT; GermaNet	https://www.openthesaurus.de/synonyme/Grog	https://www.wikidata.org/wiki/Q492554	Grog		
Alkoholhaltiges_Heißgetränk	Espresso mit Schuss		OT	https://www.openthesaurus.de/synonyme/Espresso%20mit%20Schuss	https://www.wikidata.org/wiki/Q62451	corretto cafe		
Alkoholhaltiges_Heißgetränk	Kaffee mit Schuss		OT	https://www.openthesaurus.de/synonyme/Kaffee%20mit%20Schuss	https://www.wikidata.org/wiki/Q62451	corretto cafe		
Alkoholhaltiges_Heißgetränk	Irish Coffee		OT	https://www.openthesaurus.de/synonyme/Irish+Coffee	https://www.wikidata.org/wiki/Q622954	Irish Coffee		
Alkoholhaltiges_Heißgetränk	Hoppelpoppel		D1; Sanders		https://www.wikidata.org/wiki/Q1527806	Hoppelpoppel		
