xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Begriff	Top_1	Top_3	Top_5
LS00708	Schlewe-schnabbs	Schleweschnabbs	Substantiv		Schlehenschnapps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Obstbrand; Obstler; Obstschnaps; Obstwasser	Obstwasser; Obstler	Obstwasser; Obstbrand; Obstler; Obstgeist; Obstschnaps	Obstwasser; Obstbrand; Obstler; Obstschnaps; Aprikosenschnaps; Obstgeist
LS00787	Schlupp I	Schlupp	Substantiv	2.	Gläschen Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntewein; Branntwein	Schnaps; Branntewein; Branntwein; Fusel; Weinbrand; Kurzer; Anisschnaps
LS00792	Schluri	Schluri	Substantiv	2.	Spitzname für schlechten Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Geplämpe; Plämpe; Ballerbrühe	Geplämpe; Plämpe; Ballerbrühe; Lurke	Geplämpe; Plörre; Plämpe; Plampel; Ballerbrühe; Lurke; Geschlapp
LS00907	Schnaps	Schnaps	Substantiv		Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntwein; Branntewein	Schnaps; Branntwein; Branntewein; Feuerwasser; Kurzer
LS01000	Schnik	Schnik	Substantiv		Fusel, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Kurzer; Branntewein; Branntwein	Fusel; Kurzer; Branntewein; Feuerwasser; Schnaps; Branntwein
LS01029	Schnorres	Schnorres	Substantiv	2.	Gläschen Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntewein; Branntwein	Schnaps; Branntewein; Branntwein; Feuerwasser; Anisschnaps
LS01115	Schorbacher	Schorbacher	Substantiv		gewöhnlicher Kartoffelschnaps, der in Schorbach (n. w. Bitsch) vorzugsweise getrunken wird	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein; Schnaps	Branntwein; Branntewein; Schnaps; Kurzer	Branntwein; Branntewein; Schnaps; Kurzer; Feuerwasser; Anisschnaps
LS01563	Sirop	Sirop	Substantiv		Sirup	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	Sirup	Sirup	Sirup; O-Saft; Saft	Sirup; O-Saft; Saft; Kakaomilch; gestandene Milch
LS01713	Spenn	Spenn	Substantiv	1.	Muttermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Magermilch; Trinkmilch	Milch; Magermilch; Trinkmilch; Schickermilch; Dosenmilch
LS01837	Spret	Spret	Substantiv	1.	Sprit, Spiritus, schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Branntewein; billiger Alkohol; Kurzer; Feuerwasser	Fusel; Branntewein; billiger Alkohol; Feuerwasser; Branntwein; Kurzer; Schnaps
LS01858	Spruddel	Spruddel	Substantiv		Sprudel	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Arbeitersekt; Brause; Kribbelwasser; Mineralwasser; Proletariersekt; Sauerbrunnen; Selters; Selterswasser; Soda; Sodawasser; Spritzwasser; Sprudel; Sprudelwasser; Wasser mit Zisch; sauerer Sprudel	Sprudel	Sprudel; Arbeitersekt; Soda; Sprudelwasser; sauererSprudel; Brause; Selterswasser; Sodawasser; Mineralwasser	Sprudel; Arbeitersekt; Soda; Brause; Spritzwasser; Sprudelwasser; sauererSprudel; Sodawasser; Selterswasser; Selters; Alsterwasser; Mineralwasser
LS02218	Strach	Strach	Substantiv	3.	soviel auf einmal an Milch gemolken wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Trinkmilch; Magermilch	Milch; Trinkmilch; Magermilch; Schickermilch; Dosenmilch
LS02255	Strechersch	Strechersch	Substantiv		die Menge Milch, die beim einmaligen Melken erzeugt wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Büchsenmilch	Büchsenmilch; Milch; H-Milch	Büchsenmilch; Milch; H-Milch; haltbare Milch; Milchmischgetränk
LS02444	Suff	Suff	Substantiv		steifer Trank für Rindvieh u. Schweine; Küchenwasser zum Tränken des Viehs	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	das Trinken; Trank	das Trinken; Trunk; Trank	das Trinken; Trunk; Trank; Drink; Getränk; Bock
LS02490 	Surmilich 	Surmilich	Substantiv		Sauermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Dickmilch; Sauermilch; gestandene Milch; saure Milch	Sauermilch	Sauermilch; Dickmilch; gestandene Milch; saure Milch	Sauermilch; Dickmilch; gestandene Milch; saure Milch; Magermilch; haltbare Milch
LW00150	Wasser	Wasser	Substantiv	2.	wässeriger Kaffee, dünne Suppe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Branntewein; Branntwein; Schnaps	Geplämpe	Geplämpe	Geplämpe; Lurke; Plempe; Plörre; Plämpe; Geschlapp
LW00150	Wasser	Wasser	Substantiv	2.	in aller Frühe getrunkener Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Branntewein	Branntewein; Branntwein; Schnaps; Kurzer	Branntewein; Branntwein; Schnaps; Feuerwasser; Kurzer; Fusel
LW00353 	Widderdaifer 	Widderdaifer	Substantiv		Name für Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Tafelwein	Rebensaft; Wein; Tafelwein; Gänsewein; Weinbrand
LW00386	Wih-wasser	Wihwasser	Substantiv	2.	Schnaps, der in der Frühe getrunken wird	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Feuerwasser; Schnaps	Feuerwasser; Branntewein; Schnaps; Kurzer; Branntwein	Feuerwasser; Branntewein; Schnaps; Kurzer; Branntwein
LW00407	Win	Win	Substantiv		Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Tafelwein	Wein; Rebensaft; Tafelwein; Gänsewein; Weinbrand
LW00439	Winkof	Winkof	Substantiv	1.	Trunk zur Bestätigung eines geschlossenen Kaufes od. Vertrags	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trank; das Trinken	Trank; Trunk; Gesöff; das Trinken	Trank; Trunk; Gesöff; das Trinken; Getränk; Drink
LW00444	Winscho	Winscho	Substantiv		Glühwein	Getränk.Heißgetränk.Alkoholhaltiges_Heißgetränk	Glühwein	Glühwein	Glühwein; Grog; Weinbrand	Glühwein; Grog; Weinbrand; Punsch; Palmwein
LZ00261	Zwelfer	Zwelfer	Substantiv		ein Schnaps zu 12	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntewein; Schnaps	Branntewein; Branntwein; Schnaps	Branntewein; Branntwein; Schnaps; Feuerwasser; Kurzer
PA00150	Abend-milch	Abendmilch	Substantiv	-	Milch, die am Abend gemolken wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Trinkmilch; Milchmischgetränk	Milch; Trinkmilch; Milchmischgetränk; Milchmixgetränk; H-Milch
PA01307	Alkohol	Alkohol	Substantiv	-	Alkohol	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Drink; billiger Alkohol	Drink; Getränk; das Trinken; Trank; billiger Alkohol	Drink; Getränk; das Trinken; billiger Alkohol; Trank; Trunk; Tropfen
PA02392	An-trunk	Antrunk	Substantiv		erster Trunk	Getränk	Getränk; Trank; Trinkbares; das Trinken; Trunk	Trunk	Trunk; Trank; Getränk	Trunk; Trank; Getränk; Gesöff; Drink; das Trinken
PA02488	Apfel-, Äpfel-bumpes	Apfelbumpes, Äpfelbumpes	Substantiv	-	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelwein	Apfelwein; Apfelperlwein	Apfelwein; Apfelperlwein; Apfelschaumwein; Palmwein
PA02492	Apfel-fiez	Apfelfiez	Substantiv	-	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelwein	Apfelwein; Apfelperlwein; Apfelschaumwein	Apfelwein; Apfelperlwein; Apfelschaumwein; Apfelschorle; Palmwein; Glühwein
PA02502	Apfel-gückes	Apfelgückes	Substantiv	-	Apfelwein minderer Sorte	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelwein	Apfelwein; Apfelperlwein; Apfelschaumwein	Apfelwein; Apfelperlwein; Apfelschaumwein; Apfelschorle; Tafelwein
PA02521	Apfel-mops	Apfelmops	Substantiv	-	nachgemachter Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelperlwein; Apfelwein	Apfelperlwein; Apfelschaumwein; Apfelwein	Apfelperlwein; Apfelschaumwein; Apfelwein; Apfelschorle
PA02522	Apfel-most	Apfelmost	Substantiv	-	Apfelmost	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Apfelsaft; Most	Apfelwein; Apfelsaft	Apfelwein; Apfelperlwein; Apfelschaumwein; Apfelsaft; Apfelsaftschorle; Apfelschorle	Apfelwein; Apfelperlwein; Apfelschaumwein; Apfelschorle; Most; Apfelsaft; Apfelsaftschorle; Saft; Obstsaft
PA02536	Apfel-, Äpfel-saft	Apfelsaft, Äpfelsaft	Substantiv	1	Apfelsaft, Äpfelsaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Apfelsaft	Apfelsaft	Apfelsaft; Apfelsaftschorle; Obstsaft	Apfelsaft; Apfelsaftschorle; Obstsaft; Saft; Fruchtsaft
PA02561	Apfel-, Äpfel-wein	Apfelwein, Äpfelwein	Substantiv	-	Apfelwein, Äpfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Apfelperlwein; Apfelwein	Apfelperlwein	Apfelperlwein; Apfelwein	Apfelperlwein; Apfelwein; Apfelschaumwein; Obstwein
PA02579	Apparaten-milch	Apparatenmilch	Substantiv	-	Milch, die durch die Zentrifuge entrahmt ist	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	haltbare Milch	haltbare Milch; H-Milch; Milch	haltbare Milch; H-Milch; Milch; Trinkmilch; Dosenmilch
PA02627	Arbeiter-sekt	Arbeitersekt	Substantiv	-	Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Arbeitersekt; Brause; Kribbelwasser; Mineralwasser; Proletariersekt; Sauerbrunnen; Selters; Selterswasser; Soda; Sodawasser; Spritzwasser; Sprudel; Sprudelwasser; Wasser mit Zisch; sauerer Sprudel	Mineralwasser	Mineralwasser; Sodawasser; Arbeitersekt; Mineralwasser; Soda; Brause; Sauerbrunnen; Selters; Sprudel	Mineralwasser; Sodawasser; Arbeitersekt; Selterswasser; Soda; Mineralwasser; Sauerbrunnen; Brause; Sprudel; Selters
PA02886	Ast-heimer	Astheimer	Substantiv	-	Birnwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Obstwein; Fruchtwein	Obstwein; Fruchtwein	Obstwein; Fruchtwein; Palmwein; Rebensaft; Tafelwein
PA03037	Auf-enthalt	Aufenthalt	Substantiv	3	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntwein; Branntewein	Schnaps; Branntwein; Branntewein; Feuerwasser; Kurzer
PA03060	Auffüll-wein	Auffüllwein	Substantiv	-	Wein zum Auffüllen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Gänsewein	Wein; Rebensaft; Gänsewein; Weinbrand; Tafelwein
PA04088	Aus-stich	Ausstich	Substantiv	2	Beerenauslese, edelster Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Prädikatswein; Qualitätswein	Prädikatswein; Qualitätswein	Prädikatswein; Qualitätswein; Tafelwein; Obstwein	Prädikatswein; Qualitätswein; Tafelwein; Süßwein; Starkbier; Obstwein
PA04089	Ausstich-wein	Ausstichwein	Substantiv	-	edelster Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Prädikatswein; Qualitätswein	Prädikatswein; Qualitätswein	Prädikatswein; Qualitätswein; Tafelwein; Süßwein	Prädikatswein; Qualitätswein; Tafelwein; Wein; Landwein; Süßwein; Sauser; Portwein
PB00145	Päckel-brühe	Päckelbrühe	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe; Lorke; Gesöff	Brühe; Lorke; Plempe; Coke; Plämpe; Plörre; Gesöff; Plampel	Brühe; Lorke; Plempe; Plörre; Plampel; Coke; Geschlapp; Plämpe; Lurke; Gesöff
PB00373	Bajaß-seiche	Bajaßseiche	Substantiv	-	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe; Lorke; Gesöff	Brühe; Lorke; Plempe; Gesöff; Plämpe; Plörre; Geschlapp	Brühe; Lorke; Plempe; Plörre; Plampel; Gesöff; Plämpe; Lurke; Geschlapp
PB00523	Bampel-brühe	Bampelbrühe	Substantiv	-	minderwertiger Wein, dünner Kaffee	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein;Getränk.Heißgetränk.Alkoholfreies_Heißgetränk	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre; Wein	Geplämpe; Gesöff; Plampel; Ballerbrühe; Lurke; Plempe; Caro-Kaffee	Geplämpe; Gesöff; Lorke; Plempe; Plampel; Ballerbrühe; Lurke; Caro-Kaffee; Kaffee; Plörre	Geplämpe; Geschlapp; Gesöff; Lorke; Plempe; Plampel; Lurke; Ballerbrühe; Caro-Kaffee; Plörre; Kaffee
PB00617	Bankerotts-brühe, Bankerott-brühe	Bankerottsbrühe, Bankerottbrühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Geplämpe; Lorke; Plempe; Plörre	Geplämpe; Lorke; Plempe; Plörre; Lurke	Geplämpe; Plörre; Plämpe; Plempe; Geschlapp; Lorke; Gesöff; Lurke; Plampel
PB00620	Bankerottsmacher-brühe, Bankerottmacher-brühe	Bankerottsmacherbrühe, Bankerottmacherbrühe	Substantiv	-	dünner, schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Geplämpe; Lorke; Ballerbrühe; Plempe	Geplämpe; Lorke; Plempe; Ballerbrühe; Lurke	Geplämpe; Plörre; Plämpe; Plempe; Geschlapp; Lorke; Ballerbrühe; Lurke; Gesöff; Plampel
PB00757	Pappel-wasser	Pappelwasser	Substantiv	2	geringwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Tafelwein	Wein; Rebensaft; Tafelwein; Gänsewein; billiger Alkohol
PB01168	Batzen-wein	Batzenwein	Substantiv	-	minderwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Tafelwein	Wein; Rebensaft; Tafelwein; Gänsewein; Weinbrand
PB01184	Bauch-bläser	Bauchbläser	Substantiv		schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Rebensaft; Gänsewein	Wein; Rebensaft; Gänsewein; Tafelwein; Obstwein
PB01216	Bauchweh-wasser	Bauchwehwasser	Substantiv	-	Zwetschgenschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Pflaumenbranntwein; Zwetschgenbrand; Zwetschgenschnaps; Zwetschgenwasser	Zwetschgenschnaps	Zwetschgenschnaps; Zwetschgenbrand; Zwetschgenwasser	Zwetschgenschnaps; Zwetschgenbrand; Zwetschgenwasser; Pflaumenbranntwein; Aprikosenbrand; Zuckerwasser; Aprikosenschnaps
PB01220	Baudel-brühe	Baudelbrühe	Substantiv	-	Malzkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	Gerstenkaffee; Getreidekaffee; Kornkaffee; Malzkaffee	Malzkaffee	Malzkaffee; Gerstenkaffee; Getreidekaffee; Kornkaffee	Malzkaffee; Gerstenkaffee; Getreidekaffee; Kornkaffee; Gerstenkaffe; Muckefuck; Ersatzkaffee
PB01317	Bauern-wein	Bauernwein	Substantiv	-	Wein, den die Bauern für den eigenen Gebrauch herstellen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Tafelwein; Rebensaft	Wein; Tafelwein; Rebensaft; Gänsewein; Traubenmost
PB01499	Pech-milch	Pechmilch	Substantiv	-	die erste gelbe Milch der Kuh nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Kuhmilch	Kuhmilch	Kuhmilch; Trinkmilch; Milch	Kuhmilch; Trinkmilch; Milch; Büchsenmilch; Dosenmilch
PB02066	Perl-kaffee	Perlkaffee	Substantiv	-	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntwein; Branntewein	Schnaps; Branntwein; Branntewein; Fusel; Obstschnaps; Kurzer; Feuerwasser
PB02644	Pfand-wein	Pfandwein	Substantiv		verpfändeter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Fruchtwein	Fruchtwein; Obstwein	Fruchtwein; Obstwein; Palmwein; Ganzfruchtgetränk
PB02736	Pfeffer-minze, -minz	Pfefferminze, Pfefferminz	Substantiv	2	Pfefferminztee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Pfefferminztee	Pfefferminztee	Pfefferminztee; Kranwasser; Feuerwasser	Pfefferminztee; Kranwasser; Feuerwasser; Softdrink; Cola
PB02740	Pfefferminz-tee	Pfefferminztee	Substantiv	-	Pfefferminztee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	Pfefferminztee	Pfefferminztee	Pfefferminztee; Blümchenkaffee; Zichorienkaffee	Pfefferminztee; Blümchenkaffee; Zichorienkaffee; Bodenseekaffee; Jagatee
PB02869	Pferds-milch	Pferdsmilch	Substantiv	-	Stutenmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Milch	Milch	Milch; Trinkmilch; Magermilch	Milch; Trinkmilch; Magermilch; Dosenmilch; Milkshake
PB03008	Pflaster	Pflaster	Substantiv	4b	Erdbeerwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Fruchtwein	Fruchtwein; Obstwein	Fruchtwein; Obstwein; Roséwein; Cassis
PB03368	Bier	Bier	Substantiv	-	Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Bier	Bier; Kellerbier; Bockbier	Bier; Kellerbier; Bockbier; Bock; Märzenbier
PB03415	Bier-schlorum	Bierschlorum	Substantiv	-	schlechtes Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	Bier	Bier	Bier; Kellerbier; Leichtbier	Bier; Kellerbier; Leichtbier; Helles; Wein
PB03442	Biest-milch	Biestmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Kuhmilch	Kuhmilch	Kuhmilch; Trinkmilch; Milch	Kuhmilch; Trinkmilch; Milch; H-Milch; Dosenmilch
PB03609	Pink-pille	Pinkpille	Substantiv	1	schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe; Lorke	Brühe; Lorke; Plempe; Coke; Plämpe; Gesöff; Plampel	Brühe; Lorke; Plempe; Plörre; Plampel; Coke; Geschlapp; Plämpe; Gesöff
PB03661	Bippel-henker	Bippelhenker	Substantiv	-	derbe Bez. für schlechten Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Brühe; Geplämpe; Geschlapp; Lorke; Lurke; Plampel; Plempe; Plämpe; Plörre	Brühe; Geplämpe; Gesöff; Lurke	Brühe; Lorke; Plempe; Geplämpe; Gesöff; Plampel; Lurke	Brühe; Lorke; Plempe; Plampel; Geplämpe; Plörre; Gesöff; Lurke
PB03661	Bippel-henker	Bippelhenker	Substantiv	E2	Tresterwein, Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Rebensaft	Rebensaft; Wein; Tafelwein	Rebensaft; Wein; Tafelwein; Gänsewein; Kraneberger; Fruchtwein; Portwein
PB03715	Birnen-bumpes	Birnenbumpes	Substantiv	-	Wein, den man aus Birnenselbst hergestellt hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Obstwein; Fruchtwein	Obstwein; Fruchtwein	Obstwein; Fruchtwein; Tresterbrand; Wein
PB03729	Birnen-most	Birnenmost	Substantiv	-	Birnensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Fruchtsaft; Obstsaft; Saft	Fruchtsaft; Obstsaft	Fruchtsaft; Obstsaft; Saft; Apfelsaft; Gemüsesaft	Fruchtsaft; Obstsaft; Saft; Gemüsesaft; O-Saft; Apfelsaft; Orangensaft
PB03731	Birnen-puff	Birnenpuff	Substantiv	-	Wein, den man aus Birnen (und Äpfeln) selbst hergestellt hat	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Obstwein	Obstwein; Fruchtwein	Obstwein; Fruchtwein; Apfelperlwein; Palmwein
PB03733	Birnen-saft	Birnensaft	Substantiv	-	Birnensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	Fruchtsaft; Obstsaft; Saft	Obstsaft; Fruchtsaft	Obstsaft; Fruchtsaft; Saft; Gemüsesaft	Obstsaft; Fruchtsaft; Saft; Gemüsesaft; Apfelsaft; O-Saft; Orangensaft
PB03735	Birnen-schnackel	Birnenschnackel	Substantiv	-	verächtlich für schlechten Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Fruchtwein; Obstwein	Obstwein; Fruchtwein	Obstwein; Fruchtwein	Obstwein; Fruchtwein; Rebensaft; Tafelwein
PB03741	Birnen-wein	Birnenwein	Substantiv	-	Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Obstwein	Obstwein; Fruchtwein	Obstwein; Fruchtwein; Palmwein; Orangensaft
PB03844	Bitter-wasser	Bitterwasser	Substantiv	-	ein sehr bitter schmeckendes Mineralwasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	Arbeitersekt; Brause; Kribbelwasser; Mineralwasser; Proletariersekt; Sauerbrunnen; Selters; Selterswasser; Soda; Sodawasser; Spritzwasser; Sprudel; Sprudelwasser; Wasser mit Zisch; sauerer Sprudel	sauererSprudel; Proletariersekt; Mineralwasser; Stilles Wasser; saurer Sprudel	sauererSprudel; Sauerbrunnen; saurer Sprudel; Kribbelwasser; Sodawasser; Proletariersekt; Mineralwasser; Arbeitersekt; Stilles Wasser; Stilles Wasser	sauererSprudel; Sauerbrunnen; saurer Sprudel; Wasser mit Zisch; Selterswasser; Kribbelwasser; Sodawasser; Sprudelwasser; Proletariersekt; Mineralwasser; Alsterwasser; Arbeitersekt; Krimsekt; Stilles Wasser; Stilles Wasser; Pickelwasser
PB03868	Bitzler	Bitzler	Substantiv	1	junger, noch gärender Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Federweißer; Sauser	Federweißer; Sauser	Federweißer; Sauser; Weißwein; Grauburgunder	Federweißer; Sauser; Weißwein; Weißer; Grauburgunder; Prädikatswein; Rotwein
PB03946	Plämpel	Plämpel	Substantiv	2	schlechter Wein, minderwertiger Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Tafelwein	Rebensaft; Wein; Tafelwein; Gänsewein; Kraneberger
PB03947	Plämpel-brühe	Plämpelbrühe	Substantiv	-	schlechter Wein, minderwertiger Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Tafelwein	Rebensaft; Wein; Tafelwein; Prädikatswein; Weinbrand
PB04154	blau	blau	Substantiv	4a'b	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein	Branntwein; Branntewein; Schnaps	Branntwein; Branntewein; Schnaps; Feuerwasser; Anisschnaps; Kurzer
PB04279	Bleff	Bleff	Substantiv	-	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Tafelwein	Rebensaft; Wein; Tafelwein; Gänsewein; Kraneberger
PB04481	Blume	Blume	Substantiv	2g	Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Rebensaft	Rebensaft; Wein; Tafelwein	Rebensaft; Wein; Tafelwein; Gänsewein; Kraneberger
PB04647	Blut-wein	Blutwein	Substantiv	-	Rotwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Roter; Rotwein	Rotwein	Rotwein; Roter; Traubensaft; Sauser	Rotwein; Roter; Traubensaft; Weißwein; Sauser; Wein; Roséwein
