xml:id	Lemma	Wortart	Level	Definition	Konzept	Stringabgleich	ModernGBERT	Llama3.3:70b
ET00753	Dämpes,Dampes 	Substantiv		Rausch	kein_Trinken	1/1	1/1	1/1
ET00756	Dampf	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
ET00840	Dunder II	Substantiv		Donner	kein_Trinken	1/1	1/1	1/1
ET00935	Dienst	Substantiv	1.	Dienst, Gefallen	kein_Trinken	1/1	1/1	1/1
ET00942	Tante	Substantiv	3.	Hurenwirtin	kein_Trinken	1/1	1/1	1/1
ET00979	Tapen, Topen	Substantiv	1.	Pfote, Tatze, insbes. die Pfote der Katze	kein_Trinken	1/1	1/1	1/1
ET01262	Därlewätsch	Substantiv		Klatschbase	kein_Trinken	1/1	1/1	1/1
ET01264	Turlitam, Tirlitam, Tirlitum, Turlutu	Substantiv	5.	Rausch	kein_Trinken	1/1	1/1	1/1
ET01281	Türmel	Substantiv	3.	Rausch	kein_Trinken	1/1	1/1	1/1
ET01322	thurnieren	Verb		poltern, lärmen	kein_Trinken	1/1	1/1	1/1
ET01331	Durst	Substantiv		Durst	Durst	1/1	1/1	1/1
ET01334	durstig	Adjektiv		durstig	Durst	1/1	1/1	1/1
ET01335	dürsterig, dürsterlich	Adjektiv		durstigmachend, durstbringend	Durst	0/1	1/1	1/1
ET01352	Turtel	Substantiv		Turteltaube	kein_Trinken	1/1	1/1	1/1
ET01393	dus	Adjektiv	1.	still, ruhig, friedlich, sittsam usw	kein_Trinken	1/1	1/1	1/1
ET01396	Dusel	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
ET01396	Dusel	Substantiv	1.	Dusel, schlaftrunkener Zustand, Taumel	kein_Trinken	1/1	1/1	1/1
ET01400	beduselt	Adjektiv		betrunken	kein_Trinken	1/1	1/1	1/1
ET01401	duselig	Adjektiv	3.	leicht betrunken	kein_Trinken	1/1	1/1	1/1
ET01461	tuschieren	Verb		berühren	kein_Trinken	1/1	1/1	1/1
ET01474	Dispes	Substantiv		Wortstreit	kein_Trinken	1/1	1/1	1/1
ET01548	Dutt	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
ET01557	Düttle, Düttel	Substantiv	4.	Muttermilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0/1	1/1	1/1
ET01667	Tëxt	Substantiv		Text, Bibelstelle	kein_Trinken	1/1	1/1	1/1
ET01713	Traberen, Träberen	Substantiv	2.	Treberbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	1/1
ET01767	Drach, Drachen, Dracher	Substantiv	1.	feuriges Ungeheuer. Das Volk glaubt noch heute an fürigi Drachen, die bei Nacht durch die Luft fliegen und wo sie einfahren, Schätze bringen	kein_Trinken	1/1	1/1	1/1
ET01807	trudlen, truttlen	Verb	5.	trinken	Trinken	1/1	1/1	1/1
ET01844	uf tragen	Verb	1.	auftischen	kein_Trinken	1/1	1/1	1/1
ET01862	Traget(e)	Substantiv	3.	Rausch	kein_Trinken	1/1	1/1	1/1
ET01926	Teüfelsdrëck 	Substantiv	2.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
ET01939	Druck	Substantiv	2.	soviel auf einmal gepresst oder gekeltert wird	kein_Trinken	1/1	1/1	1/1
ET01994	traktieren	Verb	1.	züchtigen, bändigen	kein_Trinken	1/1	1/1	1/1
ET02059	Triemen, Trumen	Substantiv		Endstück vom Aufzug eines Gewebes. An die abgeschnittenen Endfäden des alten Zettels wird der neue angedreht	kein_Trinken	1/1	1/1	1/1
ET02122	Tran	Substantiv		Tran	kein_Trinken	1/1	0/1	1/1
ET02147	Trank	Substantiv		Trank	Getränk 	1/1	1/1	0/1
ET02152	Säütränke	Substantiv	2.	schlechtes Getränk, z. B. schlechter Wein	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/2	2/2	1/2
ET02153	tränken	Verb	1.	das Vieh tränken, scherzh. auch vom Menschen: zu trinken geben	kein_Trinken	0/1	0/1	0/1
ET02159	trinken	Verb		trinken	Trinken	1/1	1/1	1/1
ET02160	Trinken	Substantiv		Getränk	Getränk 	1/1	1/1	1/1
ET02161	nach trinken	Verb		einem andern nachtrinken, nach einem andern aus demselben Glas trinken	Trinken	1/1	1/1	0/1
ET02165	Trunk	Substantiv		Trunk	Getränk 	1/1	1/1	0/1
ET02166	Schlaftrunk	Substantiv		urspr. Trunk, der dem Gaste dargereicht wurde, wenn er sich schon zu Bett begeben hatte; später Trinkgelage, das sich an die Abendmahlzeit anschloss.	Getränk; Trinken	0/2	2/2	0/2
ET02243	Trosel, Trossel	Substantiv	1.	Troddel, Franse, Quaste, bes. am Frauenhalstuch	kein_Trinken	1/1	1/1	1/1
ET02252	Druesen, Drusen	Substantiv	2.	Branntwein aus Weinhefe gewonnen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	1/1
ET02351	Tscho	Substantiv		Kopf	kein_Trinken	1/1	1/1	1/1
ET02433	Tschopp	Substantiv		Tölpel, dummer Mensch	kein_Trinken	1/1	1/1	1/1
EW00093	wubben	Verb		schlagen, hauen, prügeln	kein_Trinken	1/1	1/1	1/1
EW00419	wäjen	Verb	1.	wehen	kein_Trinken	1/1	1/1	1/1
EW00497	Wëll(e)	Substantiv	3.	Rausch	kein_Trinken	1/1	1/1	1/1
EW00675	Äpfelwi(n)	Substantiv		Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	0/1
EW00678	Birenwi(n)	Substantiv		Birnwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0/1	1/1	0/1
EW00679	Branntenwi(n), Brënntewi(n)	Substantiv		Branntwein, Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EW00682	Dreimännerwin	Substantiv		Wein, der so sauer ist, dass drei Männer den Trinkenden festhalten müssen (sonst würde er  sich weigern, ihn zu nehmen)	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
EW00685	Edelwin	Substantiv		feine Sorte Weisswein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0/1	1/1	1/1
EW00686	Ehrwein	Substantiv		Ehrenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0/1	1/1	1/1
EW00688	Gänswin	Substantiv		schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
EW00690	Grumbirenbrënntewin	Substantiv		Branntwein aus gegorenen Kartoffeln	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EW00706	Stichwin	Substantiv		der zur Probe aus dem Fass genommene Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	0/1
EW00712	Trinkwi(n)	Substantiv		leichter Wein, der gewonnen wird, wenn man nach dem Pressen der Trauben die Träber mit Wasser übergiesst und nach einem Zuckerzusatz nochmals gären lässt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
EW00713	Truebwi(n), Trüebwi(n)	Substantiv		Trübwein, der letzte, nicht mehr klare W. aus einem Fasse	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	0/1	1/1	1/1
EW00723	gewinnen	Verb	2.	Wein abzapfen durch die kleine mit hölzernem Keil verschlossene Öffnung	kein_Trinken	1/1	1/1	1/1
EW00834	Wankel	Substantiv		Spielraum, Raum zu freier Bewegung	kein_Trinken	1/1	1/1	1/1
EW00919	wërden	Verb	5.	beim Kartenspiel die Zeche oder einen Teil derselben verlieren	kein_Trinken	1/1	1/1	1/1
EW00952	würflen	Verb	2.	sich erbrechen, besonders infolge von Trunkenheit	kein_Trinken	1/1	1/1	1/1
EW01009	Wermuet	Substantiv	2.	Wermutbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EW01086	Wirt, Wurt, Wert	Substantiv		Wirt, Gastwirt	kein_Trinken	1/1	1/1	1/1
EW01088	Wirtinne, Wirten	Substantiv		Wirtin	kein_Trinken	1/1	1/1	1/1
EW01090	Wirtschaft	Substantiv		Wirtschaft, Wirtshaus	kein_Trinken	1/1	1/1	1/1
EW01152	Wasser	Substantiv	1.	Wasser, Trinkwasser, Quellwasser, Regenwasser, Fluss, Teich, See, Meer. Von einem Arbeitsscheuen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	1/1	1/1	1/1
EW01154	Bappelwasser	Substantiv	2.	Tee aus Blättern der Rosenpappel	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Tee	1/1	1/1	1/1
EW01154	Bappelwasser	Substantiv	1.	geistige Getränke	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	0/1	1/1
EW01168	Kirsenwasser, Kirschenwasser	Substantiv		Branntwein aus Kirschen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EW01182	Schüsselwasser	Substantiv	2.	schlechter Kaffee; dünne, kraftlose Suppe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	1/1	1/1	0/1
EW01183	Seckelwasser	Substantiv		schlechtes Getränk, Wein und Bier	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	2/3	1/3	2/3
EW01189	Wichtwasser, Gewichtwasser, Wihwasser	Substantiv	2.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
EW01200	Weisen, Weizen	Substantiv		Urinblase des Schweines; Kinder füllen dieselbe oft mit Luft, welche sie beim Ausströmen durch Zusammenpressen zum Knallen bringen	kein_Trinken	0/1	1/1	1/1
EW01297	Wäsch  I	Substantiv	3.	Weinstein	kein_Trinken	1/1	1/1	1/1
EW01486	Wüwele	Substantiv		Läuse	kein_Trinken	1/1	1/1	1/1
EZ00002	Zaü	Substantiv		zusammenhängendes Stück Feldarbeit, bes. beim Pflügen	kein_Trinken	1/1	1/1	1/1
EZ00017	zabelen 	Verb	1.	zappeln	kein_Trinken	1/1	1/1	1/1
EZ00034	zubelen	Verb		zupfen, an den Haaren reissen	kein_Trinken	1/1	1/1	1/1
EZ00046	zëchen 	Verb	2.	trinken	Trinken	1/1	1/1	1/1
EZ00047	verzëchen	Verb		verzechen	kein_Trinken	1/1	0/1	1/1
EZ00154	ziehe(n), ziegen	Verb	2.	gierig trinken	Trinken.Schnell_große_Mengen_trinken 	0/1	1/1	1/1
EZ00196	zackeren	Verb	1.	pflügen	kein_Trinken	1/1	1/1	1/1
EZ00219	Zucker II	Substantiv	2.	Gläschen Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	0/1
EZ00429	Zapfen	Substantiv	1.	Zapfen am Fass, der Flasche, am Gebälk	kein_Trinken	1/1	1/1	1/1
EZ00429	Zapfen	Substantiv	4.	Trinker	kein_Trinken	1/1	1/1	1/1
EZ00429	Zapfen	Substantiv	5.	Rausch	kein_Trinken	1/1	1/1	1/1
EZ00445	Vollzapfen	Substantiv		Trunkenbold	kein_Trinken	1/1	1/1	1/1
EZ00451	zapfen	Verb		Wein schenken	kein_Trinken	1/1	1/1	1/1
EZ00453	zäpfen	Substantiv	2.	(ein Fass) anstechen; vom Fass trinken; trinken überhaupt	Trinken; Trinken.Alkohol_trinken	1/2	2/2	2/2
EZ00456	Zäpfer	Substantiv	1.	Trinker	kein_Trinken	1/1	1/1	1/1
EZ00475	Zopf	Substantiv	5.	Rausch	kein_Trinken	1/1	1/1	1/1
EZ00494	verzehren	Verb	2.	in einem Wirtshaus ausgeben (nicht bloss für Nahrung), konsumieren	kein_Trinken	1/1	1/1	1/1
EZ00518	zirlen	Verb		tändeln	kein_Trinken	1/1	1/1	1/1
EZ00613	Zottel	Substantiv	3.	Hals einer Flasche; Ansatzstück einer Giesskanne	kein_Trinken	1/1	1/1	1/1
EZ00628	Zutt	Substantiv		Schnauze eines Topfes	kein_Trinken	1/1	1/1	1/1
EZ00664	zwacken	Verb	1.	wegnehmen bes. im Spasse, ähnlich wie stipitzen, stratzen	kein_Trinken	1/1	1/1	1/1
LA00079	Ädde	Substantiv		Vater (fast nur von Juden u. für Juden gebräuchlich)	kein_Trinken	1/1	1/1	1/1
LA00196	alterdimlich, altertemlech	Adjektiv		altertümlich	kein_Trinken	1/1	1/1	1/1
LA00253	Änes	Substantiv	2.	Anisbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
LA00260	Angel	Substantiv	1.	Stachel, bes. der Biene	kein_Trinken	1/1	1/1	1/1
LA00262	Angläs	Substantiv	1.	weiße Wein-Flasche, drei Viertel Liter enthaltend	kein_Trinken	1/1	1/1	1/1
LA00303	an-setzen	Verb	3.	anstellen; Brombeeren, Mirabellen, Chinawurzel usw. in Alkohol einweichen, um ein besonders hygienisches Likör herzustellen	kein_Trinken	1/1	1/1	1/1
LA00351	Appelvitz	Substantiv		Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
LA00352	Äbbel-win	Substantiv		Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	0/1
LB00004	Babbel-wasser	Substantiv		Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
LB00012	bäbich	Adjektiv		kleberig, schmierig	kein_Trinken	1/1	1/1	1/1
LB00146	Pans-bruder	Substantiv		einer, der nur für seinen Bauch sorgt, der immer essen u. trinken möchte	kein_Trinken	1/1	1/1	1/1
LB00183	Bäre-dreck	Substantiv		Süßholzsaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	0/1	1/1	1/1
LB00331	Paure-wein	Substantiv		ungekelteter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
LB00394	be-duselt	Adjektiv		angetrunken	kein_Trinken	1/1	1/1	1/1
LB00421	Behennichkät	Substantiv		Behendigkeit	kein_Trinken	1/1	1/1	1/1
LB00463	Peischten	Substantiv		Pfingsten	kein_Trinken	1/1	1/1	1/1
LB00479	Pek I	Substantiv		saurer Wein, aus Trestern hergestellt, indem man Wasser zusetzt u. das Gemisch einige Tage in einem Fasse stehen läßt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
LB00527	be-newelt	Adjektiv		leicht betrunken, benebelt	kein_Trinken	0/1	1/1	1/1
LB00610	Bes	Substantiv		Kuß	kein_Trinken	1/1	1/1	1/1
LB00615	be-sawelt	Adjektiv		betrunken	kein_Trinken	1/1	1/1	1/1
LB00626	be-schipsen	Verb	2.	sich betrinken	Trinken.Alkohol_trinken	1/1	1/1	0/1
LB00633	be-schnaksen	Verb		vorwitzig besehen, untersuchen, die Nase hineinstecken	kein_Trinken	1/1	1/1	1/1
LB00676	be-trinken	Verb		sich betrinken	Trinken.Alkohol_trinken	1/1	1/1	1/1
LB00743	Bide	Substantiv	1.	kleines Pferd	kein_Trinken	1/1	1/1	1/1
LB00755	Bier II	Substantiv		Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	1/1	1/1	1/1
LB00829	Kaffis-binz	Substantiv		Kaffeekanne	kein_Trinken	1/1	1/1	1/1
LB00894	Bitsch I	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
LB00932	pla'en	Verb		plagen	kein_Trinken	1/1	1/1	1/1
LB00947	Plank	Substantiv		Planke	kein_Trinken	1/1	1/1	1/1
LB01083	plompen	Verb	1.	schwer hinfallen, plumpen	kein_Trinken	1/1	1/1	1/1
LB01103	Blotz-milch	Substantiv		Buttermilch, die durch Butter blotze entsteht	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	1/1	1/1
LB01196	Polett	Substantiv	1.	Achseltroddel, Epaulette	kein_Trinken	1/1	1/1	1/1
LB01316	Bouf	Substantiv		Bube	kein_Trinken	1/1	1/1	1/1
LB01318	Boustof	Substantiv		Buchstabe	kein_Trinken	1/1	1/1	1/1
LB01322	Brach	Substantiv		dicke Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	1/1	1/1
LB01350	Brannte-win	Substantiv		Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
LB01409	Bremm	Substantiv		Landgut u. Wirtshaus bei Forbach	kein_Trinken	1/1	1/1	1/1
LB01432	Prester-duttler	Substantiv		Spitzname der Einwohner von Obergailbach	kein_Trinken	1/1	1/1	1/1
LB01497	Brockel	Substantiv	1.	geronnene Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	1/1	0/1
LB01550	prowieren	Verb	1.	probieren, kosten, versuchen	kein_Trinken	1/1	1/1	1/1
LB01560	bruddelen	Verb	2.	mit Geräusch Wasser schlürfen (vom Vieh)	Trinken.Geräuschvoll_trinken	1/1	1/1	1/1
LB01611	brutlich	Adjektiv	2.	abgebrüht (vom mehrfach aufgekochten Kaffee)	kein_Trinken	1/1	1/1	1/1
LB01764	Buschong	Substantiv		Korkstöpsel, Propfen	kein_Trinken	1/1	1/1	1/1
LD00053	däfen	Verb	2.	Wein mit Wasser durchsetzen	kein_Trinken	1/1	1/1	1/1
LD00093	Damp	Substantiv	3.	Rausch, Betäubung durch geistige Getränke	kein_Trinken	1/1	1/1	1/1
LD00098	Dämpert	Substantiv	1.	starker Raucher	kein_Trinken	1/1	1/1	1/1
LD00111	Danne-strauss	Substantiv		Tannenzweig als Aushängeschild eines Wirtshauses	kein_Trinken	1/1	1/1	1/1
LD00361	Tibi	Substantiv		Rausch	kein_Trinken	1/1	1/1	1/1
LD00368	Dick-milch	Substantiv		sauer Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	1/1	1/1	1/1
LD00392	dieschten	Verb		dursten	Durst	1/1	1/1	1/1
LD00590	tompen	Verb	2.	schlummern, nippen	Trinken.Langsam_kleine_Mengen_trinken	1/1	1/1	1/1
LD00678	Traht	Substantiv	5.	Rausch	kein_Trinken	1/1	1/1	1/1
LD00695	Drank	Substantiv	1.	Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
LD00698	Drank-fâs	Substantiv		Obstweinfaß	kein_Trinken	1/1	1/1	0/1
LD00700	tränken	Verb		fast allg. das Vieh auf die Tränke führen, ihm zu trinken geben	kein_Trinken	1/1	1/1	0/1
LD00701	dranken	Verb		trinken	Trinken	1/1	1/1	1/1
LD00710	Trappert	Substantiv		Rausch	kein_Trinken	1/1	1/1	1/1
LD00816	drenken	Verb		trinken	Trinken	1/1	1/1	1/1
LD00818	Trep(s)	Substantiv	3.	Gläschen Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	1/1
LD00829	Treppling	Substantiv		Treppenstufe	kein_Trinken	1/1	1/1	1/1
LD00870	trinken	Verb		trinken	Trinken	1/1	1/1	1/1
LD00891	Triwelieres	Substantiv		das Drängeln, die Quälerei	kein_Trinken	1/1	1/1	1/1
LD00892	Driwen	Substantiv		das Jenseits	kein_Trinken	1/1	1/1	1/1
LD00927	Dronk	Substantiv	1.	Trunk	Getränk	1/1	1/1	0/1
LD00927	Dronk	Substantiv	2.	Trank, heilkräftiges Getränk	Getränk	1/1	1/1	0/1
LD00928	dronken	Adjektiv	1.	betrunken	kein_Trinken	1/1	1/1	1/1
LD00935	Dropp	Substantiv	1.	Trupp, Schar, Anzahl, Haufe von Menschen od. Tieren	kein_Trinken	1/1	1/1	1/1
LD00971	Druff	Substantiv	1.	trüber Wein als Faßrest	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
LD01008	Drusenbrantwin	Substantiv		fast allg. Branntwein aus Weinhefe gewonnen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	1/1
LD01077	dummlen, sich	Verb		sich eilen	kein_Trinken	1/1	1/1	1/1
LD01078	dumpsich	Adjektiv		dumpf, dumpfig	kein_Trinken	1/1	1/1	1/1
LD01101	Tupi I	Substantiv		Kreisel	kein_Trinken	1/1	1/1	1/1
LD01116	Tur II	Substantiv	2.	Runde	Getränk	0/1	1/1	0/1
LD01124	Durch-zuck	Substantiv		Schw. Balken unter der Decke, der gewöhnlich heraustritt u. bloß übertüncht ist	kein_Trinken	1/1	1/1	1/1
LD01139	Turne	Substantiv	1.	Runde, für jeden am Tisch ein Glas	Getränk	0/1	1/1	0/1
LD01147	turren	Verb		zerren, stoßen	kein_Trinken	1/1	1/1	1/1
LD01151	Durscht	Substantiv		Durst	Durst	1/1	1/1	1/1
LD01155	durschtisch	Adjektiv		durstig	Durst	1/1	1/1	1/1
LD01174	Dusel	Substantiv	2.	Rausch	kein_Trinken	1/1	1/1	1/1
LD01185	tuten II	Verb		tüchtig trinken	Trinken.Schnell_große_Mengen_trinken 	0/1	1/1	1/1
LD01188	duttlen	Verb		trinken, saugen	Trinken	1/1	1/1	1/1
LD01189	Tutu	Substantiv		Hund in der Kindersprache	kein_Trinken	1/1	1/1	1/1
LE00014	Edel-frau	Substantiv		adelige Dame	kein_Trinken	1/1	1/1	1/1
LE00056	Eichelkaffee	Substantiv		Eichelkaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Ersatzkaffee	1/1	1/1	0/1
LE00198	Enkel	Substantiv		Fußknöchel, Enkel	kein_Trinken	1/1	1/1	1/1
LE00259	er-dischteren	Verb		verdursten	kein_Trinken	1/1	1/1	0/1
LE00322	er-wannen	Verb	1.	wiedergewinnen	kein_Trinken	1/1	1/1	1/1
LF00033	Fall II	Substantiv	1.	Falle	kein_Trinken	1/1	1/1	1/1
LF00048	Famill	Substantiv		Familie, Verwandtschaft	kein_Trinken	1/1	1/1	1/1
LF00327	ver-durschten	Verb		verdursten	kein_Trinken	1/1	1/1	0/1
LF00426	ver-juppen	Verb	2.	sich vertun, von etwas zuviel essen od. trinken	kein_Trinken	1/1	0/1	1/1
LF00427	ver-juwle	Verb		verjubeln	kein_Trinken	1/1	1/1	1/1
LF00496	ver-lechen	Verb	2.	austrocknen, verschmachten vor Durst	Durst	0/1	1/1	1/1
LF00537	ver-näjen	Verb		vernähen, zu Ende nähen	kein_Trinken	1/1	1/1	1/1
LF00703	ver-suchen	Verb		versuchen, kosten	kein_Trinken	1/1	1/1	1/1
LF00706	ver-suffen	Verb	2.	durch Trinken verprassen	kein_Trinken	1/1	1/1	1/1
LF00714	Ver-tattert, ver-daddert	Adjektiv		schwatzhaft	kein_Trinken	1/1	1/1	1/1
LF00823	Viertel	Substantiv	1.	der 4. Teil eines Maßes	kein_Trinken	1/1	1/1	1/1
LF00841	viljone-forwech	Adjektiv		violettfarbig	kein_Trinken	1/1	1/1	1/1
LF00916	Vir-schotz	Substantiv		der erste Branntwein, der beim Brennen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	0/1
LF00954	Vitz	Substantiv		Obstwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
LF01000	Flatschen	Substantiv		flacher Haufen nassen Drecks, Kuhfladen	kein_Trinken	1/1	1/1	1/1
LF01050	Flesch	Substantiv	1.	Flasche, Feldflasche	kein_Trinken	1/1	1/1	1/1
LF01121	voll	Adjektiv	2.	betrunken	kein_Trinken	1/1	1/1	1/1
LF01125	Vollchit	Substantiv		Betrunkenheit	kein_Trinken	1/1	1/1	1/1
LF01130	Föll-wein	Substantiv		Füllwein, Wein zum Nach- und Auffüllen im Fasse	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
LF01160	Vor-laf	Substantiv		Vorlauf d. i. der erste Branntwein, der beim Brennen ausfließt. Er ist zu alkoholreich, um getrunken zu werden, u. dient zu Einreibungen	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	0/1
LF01207	Fransel	Substantiv	1.	Franse	kein_Trinken	1/1	1/1	1/1
LF01282	Frosch	Substantiv	1.	Frosch	kein_Trinken	1/1	1/1	1/1
LF01369	Fusel	Substantiv		geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
LG00014	gägelich	Adjektiv		geckig, kindisch, zum Lachen geneigt	kein_Trinken	1/1	1/1	1/1
LG00052	Galm	Substantiv		Durst, Qualm, Gestank	Durst	1/1	1/1	0/1
LG00073	ganglen	Verb		hin- u. herschwanken (vom Trunkenbold)	kein_Trinken	1/1	1/1	1/1
LG00125	gaschtieren	Verb		ibid. ein Festessen veranstalten, bewirten	kein_Trinken	1/1	1/1	1/1
LG00244	Ge-drenks	Substantiv	1.	Getränke	Getränk	0/1	1/1	1/1
LG00244	Ge-drenks	Substantiv	2.	das Trinken	Trinken	0/1	1/1	1/1
LG00339	Geischt	Substantiv		Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	0/1	1/1	0/1
LG00583	Ge-scheppels	Substantiv		übermäßiges od. gewohnheitsmäßiges Trinken von Schoppen Bier od. Wein	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken, Trinken.Häufig_lange_trinken	0/2	1/2	0/2
LG00621	ge-schwatt	Adjektiv		betrunken	kein_Trinken	1/1	1/1	1/1
LG00627	Ge-seffs	Substantiv		Gesöffe, Säuferei, unmäßiges Trinken	Trinken.Alkohol_trinken;Trinken.Schnell_große_Mengen_trinken	0/2	1/2	0/2
LG00688	Ge-supps	Substantiv		Saugen, Geschlürf, schlürfendes Geräusch beim Trinken	Trinken.Geräuschvoll_trinken	0/1	1/1	1/1
LG00742	Ge-wirzels	Substantiv		Wurzelverzweigung, Wurzelwerk	kein_Trinken	1/1	1/1	1/1
LG00766	Gickes	Substantiv	1.	Stolz, Hochmut	kein_Trinken	1/1	1/1	1/1
LG00782	Giges I	Substantiv		schlechter Branntwein, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
LG00899	Glugluk	Substantiv		Gluckgluck (Geräusch beim Trinken od. Ausgießen einer Flüssigkeit)	Trinken.Geräuschvoll_trinken	0/1	0/1	1/1
LG00913	Gnatsch	Substantiv		Klatschbase	kein_Trinken	1/1	1/1	1/1
LG00947	Gom	Substantiv	4.	ein süßliches Getränk	Getränk	1/1	1/1	0/1
LG00987	Grächen	Substantiv		neuer Wein; Wein, der gerade trinkbar geworden. G. genannt wegen seiner grauen Farbe	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	1/1	1/1	1/1
LG01050	Gräwel-wasser	Substantiv		schlechter Branntwein, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	1/1	1/1
